rotation axis, 88
2xfm_0266.h5, 11, 4.0 
2xfm_0267.h5, 14, 4.0 
2xfm_0268.h5, 13, 5.0 
2xfm_0269.h5, 11, 5.0 
2xfm_0270.h5, 9, 5.0 
2xfm_0271.h5, 8, 5.0 
2xfm_0272.h5, 6, 5.0 
2xfm_0273.h5, 6, 6.0 
2xfm_0274.h5, 5, 6.0 
2xfm_0275.h5, 3, 6.0 
2xfm_0276.h5, 0, 7.0 
2xfm_0277.h5, 0, 7.0 
2xfm_0278.h5, -2, 7.0 
2xfm_0279.h5, -4, 8.0 
2xfm_0280.h5, -4, 8.0 
2xfm_0281.h5, -4, 8.0 
2xfm_0282.h5, -7, 9.0 
2xfm_0283.h5, -7, 9.0 
2xfm_0284.h5, -8, 9.0 
2xfm_0285.h5, -9, 10.0 
2xfm_0286.h5, -9, 10.0 
2xfm_0287.h5, -9, 10.0 
2xfm_0288.h5, -11, 11.0 
2xfm_0289.h5, -11, 11.0 
2xfm_0290.h5, -12, 11.0 
2xfm_0291.h5, -12, 11.0 
2xfm_0292.h5, -13, 11.0 
2xfm_0293.h5, -13, 11.0 
2xfm_0294.h5, -12, 11.0 
2xfm_0295.h5, -13, 11.0 
2xfm_0296.h5, -14, 11.0 
2xfm_0297.h5, -13, 12.0 
2xfm_0298.h5, -14, 11.0 
2xfm_0299.h5, -15, 11.0 
2xfm_0300.h5, -13, 11.0 
2xfm_0301.h5, -14, 11.0 
2xfm_0302.h5, -14, 11.0 
2xfm_0303.h5, -13, 11.0 
2xfm_0304.h5, -13, 10.0 
2xfm_0305.h5, -14, 10.0 
2xfm_0306.h5, -12, 10.0 
2xfm_0307.h5, -11, 10.0 
2xfm_0308.h5, -11, 9.0 
2xfm_0309.h5, -10, 9.0 
2xfm_0310.h5, -10, 9.0 
2xfm_0311.h5, -9, 8.0 
2xfm_0312.h5, -8, 8.0 
2xfm_0313.h5, -8, 8.0 
2xfm_0314.h5, -7, 7.0 
2xfm_0315.h5, -8, 7.0 
2xfm_0316.h5, -7, 7.0 
2xfm_0317.h5, -6, 7.0 
2xfm_0318.h5, -5, 7.0 
2xfm_0319.h5, -7, 6.0 
2xfm_0320.h5, -5, 6.0 
2xfm_0321.h5, -5, 6.0 
2xfm_0322.h5, -6, 6.0 
2xfm_0323.h5, -5, 6.0 
2xfm_0324.h5, -5, 5.0 
2xfm_0325.h5, -6, 5.0 
2xfm_0326.h5, -5, 6.0 
2xfm_0327.h5, -5, 6.0 
2xfm_0328.h5, -5, 5.0 
2xfm_0329.h5, -5, 6.0 
2xfm_0330.h5, -6, 6.0 
2xfm_0331.h5, -5, 6.0 
2xfm_0332.h5, -4, 6.0 
2xfm_0333.h5, -5, 7.0 
2xfm_0334.h5, -5, 7.0 
2xfm_0335.h5, -6, 7.0 
2xfm_0336.h5, -7, 8.0 
2xfm_0337.h5, -5, 8.0 
2xfm_0338.h5, -6, 8.0 
2xfm_0339.h5, -6, 9.0 
2xfm_0340.h5, -5, 9.0 
2xfm_0341.h5, -4, 9.0 
2xfm_0342.h5, -5, 10.0 
2xfm_0343.h5, -5, 10.0 
2xfm_0344.h5, -3, 10.0 
2xfm_0345.h5, -1, 11.0 
2xfm_0346.h5, -1, 11.0 
2xfm_0347.h5, 0, 11.0 
2xfm_0348.h5, 0, 11.0 
2xfm_0349.h5, 0, 12.0 
2xfm_0350.h5, 3, 12.0 
2xfm_0351.h5, 4, 12.0 
2xfm_0352.h5, 5, 12.0 
2xfm_0353.h5, 5, 12.0 
2xfm_0354.h5, 4, 12.0 
2xfm_0355.h5, 6, 12.0 
2xfm_0356.h5, 6, 12.0 
2xfm_0357.h5, 7, 12.0 
2xfm_0358.h5, 9, 12.0 
2xfm_0359.h5, 10, 12.0 
2xfm_0360.h5, 9, 12.0 
2xfm_0361.h5, 10, 11.0 
2xfm_0362.h5, 11, 11.0 
2xfm_0363.h5, 11, 11.0 
2xfm_0364.h5, 13, 11.0 
2xfm_0365.h5, 15, 11.0 
2xfm_0366.h5, 14, 10.0 
2xfm_0367.h5, 15, 10.0 
2xfm_0368.h5, 16, 10.0 
2xfm_0369.h5, 16, 10.0 
2xfm_0370.h5, 17, 9.0 
2xfm_0371.h5, 20, 9.0 
2xfm_0372.h5, 19, 8.0 
2xfm_0373.h5, 18, 8.0 
2xfm_0374.h5, 20, 8.0 
2xfm_0375.h5, 19, 8.0 
